summary_claim,contradicts,supports,dnm,contradicts_len,supports_len,dnm_len
"In Venezuela, the opposition has won a majority of seats in the National Assembly, ending the nearly two-decade dominance of the Socialists led by President Nicolas Maduro",[],[],[],0,0,0
" The opposition won 99 seats, while the Socialists gained 46 seats, with 22 more yet to be declared",[],[],[],0,0,0
" The results were announced five hours after polling ended, and fireworks erupted over the capital, Caracas, to celebrate the opposition's victory",[],[],[],0,0,0
" The election was widely seen as a referendum on President Maduro's government and its handling of the country's economic crisis, including chronic food shortages and the highest inflation rate on the continent",[],[],[],0,0,0
" Maduro recognized the defeat and admitted that it was a ""devastating night"" for the Socialists",[],[],[],0,0,0
" The opposition alliance, made up of centrist and conservative parties, is confident of ultimately taking at least 112 seats, giving them the power to pass laws and potentially call for a referendum on President Maduro's future",[],[],[],0,0,0
 The next presidential election is due in April 2019,[],[],[],0,0,0
"

However, the road to the election has been fraught with challenges and controversy",[],[],[],0,0,0
" The National Electoral Council, seen by the opposition as aligned with Maduro, initially sought to delay the opposition's primary vote but was ultimately overruled",[],[],[],0,0,0
" The primary vote, to choose a unified candidate to face President Maduro, saw Maria Corina Machado, a former lawmaker and prominent opposition figure, win by a wide margin",[],[],[],0,0,0
" Despite her victory, Machado is barred from holding public office due to her support of sanctions on the Maduro government",[],[],[],0,0,0
 The opposition is seeking to resolve this issue and allow Machado to participate in the general election,[],[],[],0,0,0
"

The United States has been closely monitoring the situation in Venezuela and has offered to ease some oil-related sanctions if the government follows through on its commitments to hold a free and fair election",[],[],[],0,0,0
 The U,[],[],[],0,0,0
S,[],[],[],0,0,0
" has also threatened to reinstate sanctions if Maduro does not lift bans on opposition candidates and release political prisoners and ""wrongfully detained"" Americans by the end of November",[],[],[],0,0,0
"

In response to international pressure and to secure economic relief, Maduro's government entered into talks with the opposition and signed an agreement outlining electoral guarantees and the presence of international observers for the 2024 presidential elections",[],[],[],0,0,0
 The U,[],[],[],0,0,0
S,[],[],[],0,0,0
 welcomed the agreement but reiterated its calls for the release of political prisoners and the respect for human rights,[],[],[],0,0,0
"

However, the situation remains uncertain, as the Supreme Justice Tribunal in Venezuela has suspended the results of the opposition's primary, citing allegations of electoral violations, financial crimes, and conspiracy",[],[],[],0,0,0
" The tribunal has requested the commission responsible for organizing the primary to present all related documents, including candidate registration and voting records",[],[],[],0,0,0
" The opposition and Machado have maintained that the primary was transparent and fair, and the disqualification of Machado is illegitimate",[],[],[],0,0,0
"

The opposition's primary victory and the subsequent suspension of results have created tensions and uncertainties as Venezuela prepares for the 2024 presidential election",[],[],[],0,0,0
" The fate of the agreement between the government and opposition remains uncertain, as does the future of opposition candidates like Machado",[],[],[],0,0,0
" The international community, particularly the U",[],[],[],0,0,0
S,[],[],[],0,0,0
", will continue to closely monitor the situation and evaluate whether the government is following through on its commitments to democracy and human rights",[],[],[],0,0,0
,[],[],[],0,0,0
